timestamp,vehicles_in_roi
2025-07-27T18:06:59.164399,0
2025-07-27T18:07:00.434075,0
2025-07-27T18:07:01.736217,0
2025-07-27T18:07:02.916446,0
2025-07-27T18:07:04.120784,0
2025-07-27T18:07:10.169615,1
2025-07-27T18:07:18.852163,2
2025-07-27T18:07:20.021357,3
2025-07-27T18:07:21.213321,3
2025-07-27T18:07:22.405792,3
2025-07-27T18:07:23.597798,3
2025-07-27T18:07:24.789766,2
2025-07-27T18:07:25.997902,2
2025-07-27T18:07:27.189882,1
2025-07-27T18:07:28.350244,0
2025-07-27T18:07:29.527086,1
2025-07-27T18:07:30.703387,1
2025-07-27T18:07:31.895302,1
2025-07-27T18:07:33.056173,1
2025-07-27T18:07:34.248672,0
2025-07-27T18:07:35.426793,0
2025-07-27T18:07:36.618850,1
2025-07-27T18:07:37.810856,1
2025-07-27T18:07:39.065907,1
2025-07-27T18:07:40.257886,1
2025-07-27T18:07:41.434219,1
2025-07-27T18:07:42.611034,1
2025-07-27T18:07:43.804597,2
2025-07-27T18:07:44.978975,2
2025-07-27T18:07:46.187128,2
2025-07-27T18:07:47.379194,2
2025-07-27T18:07:48.556088,2
2025-07-27T18:07:49.716755,1
2025-07-27T18:07:50.908797,1
2025-07-27T18:07:52.053868,1
2025-07-27T18:07:53.199041,0
2025-07-27T18:07:54.359741,1
2025-07-27T18:07:55.583008,1
2025-07-27T18:07:56.762721,1
2025-07-27T18:07:57.939609,3
2025-07-27T18:07:59.101735,3
2025-07-27T18:08:00.309310,3
2025-07-27T18:08:01.501257,2
2025-07-27T18:08:02.662480,2
2025-07-27T18:08:03.822727,4
2025-07-27T18:08:04.967857,3
2025-07-27T18:08:06.170140,1
2025-07-27T18:08:07.347055,1
2025-07-27T18:08:08.539576,2
